# start	end	mode	name  (end = start+size-1, exact)
0x0800487C	0x080048D5	thumb	GetBlankTileNum
0x080048D8	0x080048E7	thumb	Window_MoveCursor
0x080048E8	0x0800496B	thumb	GetGlyphWidth
0x0800496C	0x08004987	thumb	GetExtCtrlCodeLength
0x08004988	0x08004A45	thumb	AlignInt1
0x08004A48	0x08004B23	thumb	AlignInt2
0x08004B24	0x08004BCB	thumb	AlignString
0x08004BCC	0x08004D03	thumb	GetStringWidth
0x08004D04	0x08004D35	thumb	Text_InitWindow8004D04
0x08004D38	0x08004DAF	thumb	Text_InitWindow_RightAligned
0x08004DB0	0x08004E23	thumb	Text_InitWindow_Centered
0x08004E24	0x08004E27	thumb	Text_GetWindowPaletteNum
0x08004E28	0x08004E3B	thumb	Text_GetTextColors
0x08004E3C	0x08004E6B	thumb	Text_InitWindow8004E3C
0x08004E6C	0x08004E9B	thumb	Text_GetStringWidthFromWindowTemplate
0x08004E9C	0x08004F01	thumb	ConvertInternationalString
0x08004F04	0x08004F5F	thumb	Text_StripExtCtrlCodes
0x08004F60	0x08004F81	thumb	SkipExtCtrlCode
0x08004F84	0x08004FCD	thumb	StringCompareWithoutExtCtrlCodes
0x08004FD0	0x080050AB	thumb	sub_8004FD0
0x080050AC	0x08005203	thumb	DrawGlyphTile_UnshadowedFont
0x08005204	0x08005205	thumb	ShiftGlyphTile_UnshadowedFont_Width0
0x08005208	0x08005253	thumb	ShiftGlyphTile_UnshadowedFont_Width1
0x08005254	0x080052BF	thumb	ShiftGlyphTile_UnshadowedFont_Width2
0x080052C0	0x08005347	thumb	ShiftGlyphTile_UnshadowedFont_Width3
0x08005348	0x080053CF	thumb	ShiftGlyphTile_UnshadowedFont_Width4
0x080053D0	0x08005463	thumb	ShiftGlyphTile_UnshadowedFont_Width5
0x08005464	0x08005507	thumb	ShiftGlyphTile_UnshadowedFont_Width6
0x08005508	0x080055B7	thumb	ShiftGlyphTile_UnshadowedFont_Width7
0x080055B8	0x0800567F	thumb	ShiftGlyphTile_UnshadowedFont_Width8
0x08005680	0x080057C7	thumb	DrawGlyphTile_ShadowedFont
0x080057C8	0x080057C9	thumb	ShiftGlyphTile_ShadowedFont_Width0
0x080057CC	0x08005827	thumb	ShiftGlyphTile_ShadowedFont_Width1
0x08005828	0x0800588F	thumb	ShiftGlyphTile_ShadowedFont_Width2
0x08005890	0x0800590F	thumb	ShiftGlyphTile_ShadowedFont_Width3
0x08005910	0x0800599F	thumb	ShiftGlyphTile_ShadowedFont_Width4
0x080059A0	0x08005CAF	thumb	ShiftGlyphTile_ShadowedFont_Width5
0x08005CB0	0x0800602F	thumb	ShiftGlyphTile_ShadowedFont_Width6
0x08006030	0x08006421	thumb	ShiftGlyphTile_ShadowedFont_Width7
0x08006424	0x08006873	thumb	ShiftGlyphTile_ShadowedFont_Width8
0x08006874	0x08006951	thumb	DrawGlyphTiles
0x08006954	0x080069D7	thumb	UpdateTilemap
0x080069D8	0x08006A23	thumb	GetCursorTileNum
0x08006A24	0x08006A55	thumb	StringCopy10
0x08006A58	0x08006A81	thumb	StringGetEnd10
0x08006A84	0x08006AAF	thumb	StringCopy8
0x08006AB0	0x08006ACD	thumb	StringCopy
0x08006AD0	0x08006AE7	thumb	StringAppend
0x08006AE8	0x08006B15	thumb	StringCopyN
0x08006B18	0x08006B33	thumb	StringAppendN
0x08006B34	0x08006B71	thumb	StringLength
0x08006B74	0x08006B97	thumb	StringCompare
0x08006B98	0x08006BC3	thumb	StringCompareN
0x08006BC4	0x08006C63	thumb	ConvertIntToDecimalStringN
0x08006C64	0x08006D25	thumb	ConvertIntToDecimalStringN_DigitWidth6
0x08006D28	0x08006DD9	thumb	ConvertIntToHexStringN
0x08006DDC	0x08006E43	thumb	ConvertIntToDecimalString
0x08006E44	0x08006EC1	thumb	StringExpandPlaceholders
0x08006EC4	0x08006F21	thumb	StringBraille
0x08006F24	0x08006F2B	thumb	ExpandPlaceholder_UnknownStringVar
0x08006F2C	0x08006F33	thumb	ExpandPlaceholder_PlayerName
0x08006F34	0x08006F3B	thumb	ExpandPlaceholder_StringVar1
0x08006F3C	0x08006F43	thumb	ExpandPlaceholder_StringVar2
0x08006F44	0x08006F4B	thumb	ExpandPlaceholder_StringVar3
0x08006F4C	0x08006F6F	thumb	ExpandPlaceholder_KunChan
0x08006F70	0x08006F93	thumb	ExpandPlaceholder_RivalName
0x08006F94	0x08006F9B	thumb	ExpandPlaceholder_Version
0x08006F9C	0x08006FA3	thumb	ExpandPlaceholder_EvilTeam
0x08006FA4	0x08006FAB	thumb	ExpandPlaceholder_GoodTeam
0x08006FAC	0x08006FB3	thumb	ExpandPlaceholder_EvilLeader
0x08006FB4	0x08006FBB	thumb	ExpandPlaceholder_GoodLeader
0x08006FBC	0x08006FC3	thumb	ExpandPlaceholder_EvilLegendary
0x08006FC4	0x08006FCB	thumb	ExpandPlaceholder_GoodLegendary
0x08006FCC	0x08006FEF	thumb	GetExpandedPlaceholder
0x08006FF0	0x08007019	thumb	StringFill
0x0800701C	0x0800706F	thumb	StringCopyPadded
0x08007070	0x0800707F	thumb	StringFillWithTerminator
0x08007080	0x0800708D	thumb	Task_DestroySelf
0x08007090	0x08007127	thumb	InitLinkTestBG
0x08007128	0x080071A3	thumb	InitLinkTestBG_Unused
0x080071A4	0x0800726F	thumb	LinkTestScreen
0x08007270	0x0800727F	thumb	sub_8007270
0x08007280	0x080072FF	thumb	InitLocalLinkPlayer
0x08007300	0x08007311	thumb	VBlankCB_LinkTest
0x08007314	0x0800733F	thumb	InitLink
0x08007340	0x08007377	thumb	Task_TriggerHandshake
0x08007378	0x0800740B	thumb	OpenLink
0x0800740C	0x08007427	thumb	CloseLink
0x08007428	0x0800750F	thumb	TestBlockTransfer
0x08007510	0x080075CB	thumb	LinkTestProcessKeyInput
0x080075CC	0x080075EF	thumb	CB2_LinkTest
0x080075F0	0x08007667	thumb	LinkMain2
0x08007668	0x080076AF	thumb	HandleReceiveRemoteLinkPlayer
0x080076B0	0x080079A5	thumb	ProcessRecvCmds
0x080079A8	0x08007B13	thumb	BuildSendCmd
0x08007B14	0x08007B23	thumb	sub_8007B14
0x08007B24	0x08007B41	thumb	sub_8007B24
0x08007B44	0x08007B5F	thumb	sub_8007B44
0x08007B60	0x08007B6B	thumb	ClearLinkCallback
0x08007B6C	0x08007B77	thumb	ClearLinkCallback_2
0x08007B78	0x08007B87	thumb	GetLinkPlayerCount
0x08007B88	0x08007BA3	thumb	OpenLinkTimed
0x08007BA4	0x08007C47	thumb	GetLinkPlayerDataExchangeStatusTimed
0x08007C48	0x08007CAF	thumb	IsLinkPlayerDataExchangeComplete
0x08007CB0	0x08007CC7	thumb	GetLinkPlayerTrainerId
0x08007CC8	0x08007CEB	thumb	ResetLinkPlayers
0x08007CEC	0x08007CFF	thumb	ResetBlockSend
0x08007D00	0x08007D6F	thumb	InitBlockSend
0x08007D70	0x08007D93	thumb	LinkCB_BlockSendBegin
0x08007D94	0x08007DF7	thumb	LinkCB_BlockSend
0x08007DF8	0x08007E03	thumb	LinkCB_BlockSendEnd
0x08007E04	0x08007E23	thumb	sub_8007E04
0x08007E24	0x08007E3F	thumb	sub_8007E24
0x08007E40	0x08007E4B	thumb	sub_8007E40
0x08007E4C	0x08007E5B	thumb	sub_8007E4C
0x08007E5C	0x08007E6B	thumb	GetMultiplayerId
0x08007E6C	0x08007E87	thumb	bitmask_all_link_players_but_self
0x08007E88	0x08007E9B	thumb	SendBlock
0x08007E9C	0x08007ECB	thumb	sub_8007E9C
0x08007ECC	0x08007EE3	thumb	IsLinkTaskFinished
0x08007EE4	0x08007F03	thumb	GetBlockReceivedStatus
0x08007F04	0x08007F17	thumb	SetBlockReceivedFlag
0x08007F18	0x08007F2F	thumb	ResetBlockReceivedFlags
0x08007F30	0x08007F4B	thumb	ResetBlockReceivedFlag
0x08007F4C	0x08007F73	thumb	sub_8007F4C
